,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000251562,58541.6140756542,9.28761079040975,0.724678928363489,12.8161733795456,1.3310937814828201e-37,4.1648593328816e-33
ENSG00000225630,22180.2448112862,-8.84203327525201,0.71266837366959,-12.4069393310154,2.39639394834772e-35,3.7490385124925804e-31
ENSG00000132613,2807.61638379411,-6.62758295496987,0.555617171858958,-11.9283263560693,8.42503144737068e-33,8.78702696522604e-29
ENSG00000196091,1447.34737547814,-6.28622690087993,0.537696608931132,-11.6910294699014,1.4165899507612901e-31,1.10809207423425e-27
ENSG00000212907,194636.56506162,-7.63840751541644,0.676399730745051,-11.2927418037301,1.42520258991389e-29,8.91863276716312e-26
ENSG00000105605,2961.41488098566,-7.4219863859659,0.660600404599819,-11.2352132004249,2.73832022559246e-29,1.22399002197947e-25
ENSG00000236824,4731.09974260827,-10.4904177795488,0.933604855861271,-11.2364644567654,2.69979568168037e-29,1.22399002197947e-25
ENSG00000124766,93833.6108650244,8.72471140727739,0.794537183449225,10.9808723732751,4.72340221318737e-28,1.8473816481052402e-24
ENSG00000134917,630.654857599795,-6.21276565700761,0.575136290969578,-10.8022494051523,3.35872731704178e-27,1.16768021136578e-23
ENSG00000184113,2273.46488620127,-7.00733586850397,0.653982894460297,-10.7148610886632,8.668729426264499e-27,2.7123587501838996e-23
ENSG00000181104,4814.87505701995,6.77131070017687,0.635048769342502,10.6626625025784,1.5217742609249e-26,4.32861771364356e-23
ENSG00000141469,2690.38790999753,-14.8109229312529,1.39161748677588,-10.6429554615379,1.88067538684683e-26,4.9037043482542203e-23
ENSG00000213199,869.480907943302,-5.69255871945051,0.553306085550622,-10.288263346653,7.959902650139171e-25,1.9158261078477302e-21
ENSG00000198517,927.108875308881,-6.98457333931306,0.679879404988681,-10.2732532976629,9.30140129517955e-25,2.0787967508919502e-21
ENSG00000287566,1501.04760433263,-13.9690762885026,1.36432014018596,-10.2388551462698,1.32798437070835e-24,2.77008686500625e-21
