Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
260,259,54,8,10,4
123,94,0,0,0,0
0,0,0,0,2,0
639,151,19,2,0,0
675,222,71,22,18,30
0,2,0,0,0,2
0,0,0,0,2,0
0,2,0,2,8,7
18,5,3,7,9,12
2,0,0,0,0,0
16,4,2,0,0,0
0,0,0,0,0,0
0,0,0,1,2,0
40,4,0,22,23,26
2,0,0,2,0,2
7289,6301,1848,807,848,985
0,0,0,0,0,0
20,14,26,6,18,14
9473,5791,8804,1932,2505,3646
10,20,48,69,72,74
0,0,0,0,0,0
10189,7875,2502,1046,2382,3147
2311,278,98,17,64,83
0,0,0,2,0,0
0,0,0,2,8,0
0,0,0,0,2,0
0,0,0,1,14,13
0,0,0,0,0,4
14499,19469,1895,3927,3381,2600
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,630,315,37
0,0,0,0,0,0
10,25,0,0,0,4
5505,2865,1541,860,2223,3648
0,0,0,3,6,12
365,23,14617,1010,1275,3921
19284,8522,2746,2445,2406,2885
0,0,0,0,0,0
0,2,0,2,0,3
0,0,0,0,0,0
1345,36,1466,730,811,3584
0,0,40,0,0,0
0,0,0,0,0,0
1,6,0,0,0,2
0,0,0,0,0,0
250,169,438,19,19,22
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,1,0,0
0,0,0,0,0,0
0,0,0,2,0,0
8,11,0,0,0,0
1,0,0,132,69,3
4,4,0,13,3,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,11,0,0,0
0,0,0,0,2,0
71,17,98,44,37,52
432,713,1,2027,1111,72
0,0,0,2,2,2
0,0,0,0,0,0
8,167,917,326,116,35
2,0,0,0,0,0
0,0,0,0,0,0
7431,3632,510,415,741,821
0,0,0,0,0,0
140,34,0,385,1043,1535
0,0,0,0,0,0
2,0,14,3,9,11
378,0,743,213,365,1601
6077,3320,1299,1887,2866,3162
0,0,2,0,0,0
5331,5904,6053,23016,38167,37321
1,3,22,0,0,0
54,4,4,164,140,391
0,0,0,0,0,0
15,24,9,28,40,65
18,0,31,0,2,6
6,0,10,1,1,0
0,0,0,0,0,0
7476,1586,3447,448,569,598
5,0,5,0,0,0
4,4,1,0,2,6
458,154,504,127,450,131
22,0,27,9,31,18
0,0,0,0,0,2
0,1,0,0,0,0
231,40,63,37,16,22
192,210,2,114,67,28
0,8,0,0,0,1
0,0,0,0,0,0
18,8,57,22,26,20
4,0,0,0,0,0
121,173,60,62,88,78
10706,7447,2010,3346,3166,3331
14,0,0,15,24,27
72,58,25,37,8,12
2848,1969,1151,1393,1073,1041
0,0,0,0,2,9
0,1,0,4,2,9
0,0,18,1,0,0
0,0,0,0,0,0
0,0,29,15,15,7
0,0,0,0,0,0
1,4,0,0,0,0
0,0,0,0,0,0
3794,2681,573,1612,1672,2427
17,0,0,49,9,37
0,0,0,0,0,0
0,0,0,2,0,0
0,0,0,0,0,0
0,0,0,0,2,0
0,0,1,1,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,2
10,0,0,9,4,2
0,0,0,0,0,0
5444,3573,2361,760,960,1229
0,0,0,0,0,0
0,0,0,0,0,0
18799,3231,3418,317,187,277
2,4,0,9,10,17
0,0,0,0,0,0
7,2,0,0,6,2
2896,1467,307,507,507,665
0,0,0,0,0,1
0,0,0,0,0,0
9,5,5,8,13,4
7381,6148,696,985,988,1195
2,18,0,18,19,16
0,0,0,10,0,0
0,0,0,0,0,0
1533,1088,512,767,407,245
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,7,0,3
1,2,0,19,9,6
0,0,0,3,1,0
2961,2369,97,904,501,314
21,19,14,4,8,7
15552,9713,3446,8093,6164,4615
18,2,1,10,13,17
30,7,3,7,17,12
2144,1735,515,1675,1377,1018
0,2,0,0,0,0
1355,1007,743,534,433,487
1341,667,1200,2443,2188,1743
1906,2813,1717,9657,6090,4053
0,0,0,0,0,0
12687,7488,3190,2285,2393,2643
610,440,12,8572,3834,358
350,6,315,82,145,96
3188,2062,898,960,1316,1332
3888,2497,1120,864,817,1013
21,4,2,22,22,22
19,2,0,60,28,16
10916,6982,6665,2514,2731,3360
1118,763,1478,1221,1065,1123
597,215,38,416,286,142
6,4,0,69,40,4
0,0,0,260,102,24
0,0,0,0,0,0
0,0,1,1,0,0
0,0,3,0,0,0
0,4,5,42,2,0
22,15,2,927,189,52
0,0,0,23,3,0
60,24,2,108,31,8
0,0,0,16,2,0
0,0,0,0,0,0
6,101,18,480,343,142
3403,2012,1704,1902,2449,2818
4,6,5,2,8,2
2,4,0,2,0,0
2,4,16,16,10,6
8289,4551,1581,2277,2614,3553
2103,683,2216,1174,2345,2806
26,0,0,8,0,4
7,2,0,4,0,2
34,27,20,38,27,54
0,6,0,43,429,1260
104,70,61,0,4,10
0,0,0,0,0,0
2349,1328,372,316,482,1017
0,0,0,0,0,0
0,0,0,0,0,0
20,12,2,2,0,2
0,0,0,0,7,26
3123,2319,1488,1276,1510,1469
2,0,0,3,3,0
0,0,0,0,0,0
1146,3,1729,479,1031,2990
14,48,10,4204,2799,127
3297,3776,3434,7755,9679,9304
352,962,23,83814,44352,2986
1,10,0,5369,3869,209
8104,4169,514,898,1742,2152
1958,1843,653,634,867,991
1,2,0,0,2,5
0,0,0,0,2,0
0,0,0,0,0,0
34,14,21,43,61,100
1,2,0,4,0,2
31701,6563,48189,3495,1802,1304
433,565,1360,2771,2980,3299
2,0,0,0,0,0
0,0,0,5,1,6
122,6,152,710,708,749
12177,1306,1855,1364,5001,9166
6,0,0,8,2,2
1,0,0,0,2,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1529,875,1745,1721,1500,680
28,28,0,77,190,300
0,4,0,1,17,30
20,42,0,2,6,3
5310,3227,1329,1147,850,992
8291,6473,1992,831,1209,1484
4455,2705,1044,76,91,169
1719,1499,983,1195,1275,1019
0,0,0,0,0,0
3,0,0,0,2,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,1,2,0,0
0,0,0,0,0,0
385,364,159,226,124,26
50,60,71,32,41,47
1638,1293,443,403,775,1029
4,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
4,0,0,0,4,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,3,0,0
31,34,0,1120,164,17
0,0,0,0,0,0
0,0,0,0,0,0
36,44,17,0,6,4
94,38,22,0,7,0
2,2,0,0,0,0
0,0,0,0,0,0
10356,4517,752,77,93,545
0,0,26,9,23,39
0,0,0,0,0,0
6,2,32,373,512,698
3022,2271,895,1165,1074,1213
0,2,0,2,0,7
878,584,265,556,1824,3811
0,0,0,0,0,0
8,2,0,4,2,9
476,551,209,332,502,1251
0,0,0,0,0,0
0,0,0,0,0,0
281,233,192,2582,2101,660
40,12,6,2,11,6
12232,5869,3185,2079,2212,2893
2,2,0,0,0,2
11,21,11,2,2,2
0,0,14,2,0,2
8482,6143,2920,3578,4832,4425
84,52,52,4,10,0
12,523,4,6,18,11
0,0,0,0,0,0
46,4,565,621,652,860
0,0,0,0,0,0
0,0,0,2,0,0
2,0,10,209,474,537
0,0,0,0,0,0
30,16,9,0,0,0
0,4,0,17,37,31
9689,5772,3963,7388,6275,7160
2,0,3,0,2,8
4069,2281,2139,5059,6284,7919
7375,6301,3118,2366,2611,2907
19,118,0,26,15,26
2,0,0,0,0,1
5,4,0,0,0,0
1607,1101,756,266,182,243
6,4,45,273,112,14
2,2,22,77,32,4
1231,246,1065,573,628,833
2,0,0,0,0,0
5,2,0,8,6,4
0,2,2,8,0,4
24,16,0,36,70,46
0,0,0,0,0,4
0,2,0,0,0,0
0,0,0,2,0,4
0,13,14,16,22,28
0,0,0,0,0,0
21,13,11,0,4,4
0,3,0,0,0,0
6972,3857,4571,9676,13476,15897
0,0,0,3,0,0
0,0,0,0,0,0
3259,2007,303,1929,2120,2928
122,81,0,15,18,15
2,0,0,0,0,0
0,0,0,0,0,0
7595,4901,993,3035,3131,3556
0,0,0,7,7,2
12576,8448,1896,2098,2316,2064
2,6,0,24,22,11
5,8,7,175,258,1258
0,6,4,39,90,259
13,87,47,437,474,213
2,0,0,50,9,2
0,0,0,0,0,0
2,0,0,2,4,1
33,14,24,20,15,16
0,0,773,2,0,0
28,3,10,13,24,12
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,1,0,1
0,0,0,0,0,0
28,15,0,20,22,0
285,38,30,1146,2502,2817
471,371,0,0,0,2
1874,222,306,14427,6694,608
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,64,51,12
0,6,21,0,0,0
4,0,8,20,19,6
0,2,5,0,0,2
8,4,0,2748,1989,252
31,176,2,76412,50604,6327
17278,19015,3372,13230,7385,3325
0,0,0,4,14,3
8,6,3,6,4,7
2,0,0,10,29,13
554,289,111,85,71,79
49,26,15,33,15,31
33,18,15,79,79,72
0,0,0,0,0,0
1664,833,175,248,357,508
4151,2407,398,201,366,713
0,0,0,0,0,0
74,314,0,535,364,327
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,0
13,5,0,13,15,37
1363,1307,306,3594,5263,4198
14569,6343,3811,5789,20369,22456
10,8,44,34,65,50
2,0,0,0,2,0
29,17,38,7,11,12
82,38,38,16,23,72
15844,10526,2894,3139,3928,4001
0,3,18,0,0,0
2,4,0,0,0,0
0,0,0,0,0,0
8829,8644,1282,2813,4406,8225
16,18,0,36,41,57
96,78,10,97,128,132
21687,13352,4450,3310,5023,5973
23,32,58,47,101,87
22,5,187,54,190,417
0,0,29,6,11,17
24,66,92,72,95,20
6,0,0,2,0,0
0,0,0,0,0,0
2,8,15,8,10,21
449,332,54,30,37,62
121,50,38,16,7,3
0,0,0,2,0,0
3496,567,903,5264,3730,1329
0,6,0,0,2,6
0,4,0,3,0,0
3833,2430,410,962,1025,914
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1022,731,283,530,760,664
0,0,0,0,0,0
18,19,10,70,66,17
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
4944,1483,2736,9605,5258,2273
0,0,4,2,6,0
0,0,0,0,0,2
0,0,0,1,0,0
0,0,0,0,0,0
0,2,0,8,12,0
0,2,0,0,0,0
3628,2516,485,2339,2415,3375
207,1045,347,545,899,1332
4,23,13,148,72,14
0,0,0,0,0,0
8,0,0,20,22,30
0,2,0,8,2,2
15248,5529,2380,2931,1907,1183
0,0,2,0,0,0
42,3,11,12,16,6
1,0,0,0,0,0
28,1,0,0,2,0
2637,1361,600,287,516,298
0,0,0,0,0,0
43,90,106,128,201,159
497,339,212,59,84,133
21,8,0,0,0,0
69,27,12,57,190,269
0,0,0,0,0,0
22,2,8,4,20,30
59,7,5,20,51,99
12,0,62,0,0,0
6,10,98,0,0,0
241,57,134,27,43,40
587,583,583,641,868,1149
239,103,276,104,158,254
0,0,0,0,1,0
133,66,0,81,372,524
20,2,0,0,2,7
0,0,0,0,0,0
14,15,36,19,44,19
0,2,0,67,53,61
4,4,25,37,16,17
109,80,164,136,216,171
686,48,388,70,158,137
24,8,7,18,31,25
8,0,11,2,2,15
44,19,0,0,0,3
22,17,7,14,13,15
6,0,22,0,12,4
0,18,58,16,36,59
70,31,85,82,98,177
14,22,37,68,131,407
0,0,22,4,2,4
79,59,30,15,40,64
2,2,34,6,6,8
0,0,20,4,16,20
0,0,0,2,0,0
138,106,56,86,115,109
5,0,0,4,0,0
175,62,14,282,124,311
0,4,0,0,0,2
0,0,0,0,2,0
104,126,40,26,30,60
71,97,94,16,42,27
2,0,5,30,42,27
58,136,221,92,236,136
12,18,181,40,166,356
2,0,0,2,2,2
380,102,0,236,123,45
0,0,0,0,2,0
0,0,0,0,2,0
12,8,124,2,6,0
0,0,0,28,14,0
4,0,4,12,168,204
43,0,46,6,3,6
9,2,41,26,43,16
10,108,34,38,104,59
25514,21316,3670,2466,4140,2239
49,18,33,229,1708,1820
0,0,6,0,0,2
240,16,0,128,336,265
18,4,8,31,49,24
4,2,4,5,24,63
130,44,70,16,17,9
40,203,112,265,227,105
0,0,0,0,0,0
2273,1085,1292,2327,1951,759
233,44,168,497,666,624
336,134,226,103,160,415
9,16,0,4,0,6
137,128,160,139,209,139
115,162,76,4,5,21
1226,971,1767,520,686,625
0,0,0,0,0,0
168,30,42,35,60,90
27,4,16,30,114,157
18,10,53,118,1038,708
8,0,0,10,10,4
252,162,342,108,183,155
7,0,0,1,0,2
16,4,44,6,24,13
24,38,6,171,248,85
0,18,0,2,2,2
8,0,17,12,22,16
2,2,0,0,0,2
0,0,0,2,0,2
177,40,60,49,74,52
109,82,87,214,170,305
0,4,0,3,0,0
8,0,2,0,0,0
11,12,18,6,21,27
0,0,10,2,0,5
0,0,2,0,0,0
1153,1310,827,1511,2472,2427
0,2,60,0,2,0
10231,6886,809,3142,3386,2320
18,55,0,1680,259,88
54,20,0,50,31,61
739,585,638,1756,1987,1972
0,6,8,0,0,0
1560,820,810,499,682,762
50,7,0,10,12,9
128,128,8,35,17,10
13797,21169,1997,2354,2354,2168
0,0,3,0,0,3
0,2,6,0,7,8
4,5,1,3,0,3
3006,2342,686,2710,3315,2309
0,0,0,0,0,0
4207,4031,799,1697,1787,1561
97,52,39,0,3,2
6,4,12,38,182,145
418,350,72,3778,15004,11582
14,8,48,131,101,167
0,0,0,0,0,0
2,0,0,71,27,2
127,129,224,366,514,349
0,0,0,2,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13,35,15,43,84,44
65,52,103,44,62,82
896,401,866,710,640,1177
32,12,2,71,82,101
0,0,0,0,0,0
0,0,0,0,0,0
11,0,0,0,2,0
52,0,1,0,0,0
5,0,2,0,0,0
5,2,20,0,9,2
2,1,6,37,25,6
0,2,0,6,6,0
0,2,0,2,4,2
0,2,0,4,4,0
22,20,9,4,0,3
3470,2086,339,910,930,466
0,0,0,0,0,0
2,2,0,31,32,9
0,0,0,0,0,0
636,423,18,162,137,73
27209,13000,8354,5180,4900,5742
2,0,6,2,0,0
1411,732,2371,6981,5780,2583
9333,5643,2328,5030,4251,4290
2,0,0,2,36,85
1,0,0,0,0,2
0,0,0,0,0,0
2,0,0,0,3,0
0,0,0,0,0,0
0,0,0,0,0,0
22,15,2,17,20,18
1638,549,317,592,804,1006
2,2,26,0,0,0
17311,9769,5010,2307,2551,4193
8,4,6,5,6,14
8,8,13,0,0,2
1718,1245,818,1567,1355,538
0,0,0,0,0,0
0,0,0,2,0,0
0,0,0,0,0,0
2,5,30,1,0,0
24,42,14,60,18,6
0,0,0,0,0,0
2,3,0,6,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,2,2,0
0,0,0,0,0,0
0,0,0,0,3,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
161,42,77,45,229,666
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
3,3,0,7,11,18
0,0,0,0,0,0
145,0,0,3,6,6
1,0,0,0,0,1
24,10,1,0,2,2
0,0,0,3,2,2
0,0,0,0,0,0
126,29,0,10,8,6
0,0,0,0,0,0
2,0,0,2,0,0
30,5,2,12,25,7
1521,605,160,1067,1041,648
0,0,0,0,0,0
641,851,1006,411,613,775
0,0,0,0,0,0
544,570,660,639,1096,797
0,0,0,0,0,0
1200,1233,117,1162,718,217
12,0,0,0,0,3
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10917,4713,2812,1081,2009,3460
16535,15532,8959,11927,7790,7128
48,47,254,43,81,26
0,0,0,0,0,0
103,18,111,202,153,259
12,0,4,18,5,12
0,0,0,2,0,0
0,0,0,0,0,0
4170,4035,945,2946,3203,2659
2524,836,1051,1661,1248,752
0,0,0,0,0,0
0,2,0,0,2,0
1070,2032,1555,1430,657,269
34,32,78,40,15,33
0,1,11,2,0,0
0,0,0,0,0,0
8166,5797,2179,1125,2005,2005
0,1,0,0,0,0
383,221,584,401,537,299
0,0,0,0,0,0
2,0,0,0,4,4
5,2,1,1,4,1
2,2,0,0,0,1
14254,10360,4044,1074,1119,2858
1081,774,283,342,489,734
4,6,17,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
8009,4632,3368,2004,2102,3148
1,0,0,0,5,2
0,0,0,0,0,0
16858,16649,2290,12750,15935,16059
1,0,0,0,0,0
38,0,4,8,0,2
1018,1156,1054,587,1806,3327
1,2,0,13,44,27
0,0,0,0,0,0
53418,24921,35246,38279,36200,67827
64,52,180,115,340,461
4,0,0,14,8,2
46,35,283,38,56,44
0,0,0,584,395,244
1717,667,426,119,73,16
2,2,0,0,0,0
3311,6418,441,7434,4342,841
23,6,4,18,16,66
0,0,0,0,0,1
3,0,0,2,0,0
0,0,0,2,0,2
11,0,0,10,6,6
4452,3026,1246,1411,2267,2633
2,0,2,0,0,1
10,15,22,0,3,4
0,0,66,230,84,60
0,0,0,12,1,0
0,2,9,0,5,8
0,0,2,4,18,20
6,5,0,12,13,26
358,449,243,676,386,273
0,0,0,0,0,0
0,0,0,0,0,0
4846,3812,1119,1059,2047,2722
211,156,192,50,81,97
72,32,75,18,45,50
55,19,10,14,12,9
16934,9506,10847,6783,13887,12299
1103,1102,1811,2528,1531,1146
18,8,13,4,0,0
0,0,0,0,0,0
924,627,29,55,37,14
61,30,45,28,15,9
745,103,4,91,58,30
0,0,0,0,0,0
2233,24144,3324,13610,6658,2400
1,2,0,0,0,0
21807,20867,2382,4763,5809,3996
2,0,3,158,226,110
0,0,0,4,0,0
0,121,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,45,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,152,0,0,0,0
0,49,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,69,0,0,0,0
0,31,0,0,0,0
0,48,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,348,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5262,1076,1158,28,28,108
2,6,2,16,12,5
0,0,0,0,0,0
3705,2679,432,1371,1053,440
0,0,0,0,0,0
0,0,0,0,0,0
0,2,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,2,0,0,4,2
0,0,0,4,4,0
0,0,0,0,0,0
0,36,0,1157,397,130
0,0,0,0,0,0
0,0,0,0,0,0
29,6,21,0,0,0
8,1,6,0,2,13
0,0,0,0,0,0
137,16,63,30,40,70
22,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
121,25,40,2,8,14
2,0,0,0,1,0
1,0,3,0,0,0
120,120,109,36,26,36
774,996,298,422,8,205
0,0,0,0,0,0
94,76,76,78,148,196
0,0,1,0,0,0
75,17,20,2,8,19
80,48,47,10,36,55
20,12,6,8,0,11
0,0,0,0,0,2
0,0,0,0,2,0
0,2,0,0,0,0
1704,11309,5177,13954,29443,44740
614,843,0,2062,3927,6083
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,4,0,0,0
8,8,22,2,4,0
136,1178,4,12,8,17
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,0
74136,75967,4909,11356,12562,12745
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
39,628,112,1753,933,162
0,8,0,0,0,0
0,0,0,0,0,0
0,6,0,2,0,0
0,0,0,2,1,0
8,227,0,1191,530,138
0,0,0,2,0,2
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,6,2
0,6,0,0,0,0
0,0,0,1,0,2
0,0,0,0,0,0
2,0,7,0,1,0
5,7,3,4,0,2
1282,127,638,386,1546,8602
0,0,0,0,0,0
0,0,8,1,10,30
0,0,0,0,1,10
125,27,9,1,0,2
18,2,2,0,0,0
31628,20308,1727,6169,9549,6606
0,0,0,0,0,0
0,0,0,0,0,0
16,2,7,2,0,1
0,0,0,0,0,0
0,0,0,0,0,0
98,57,69,137,235,312
1362,58,1168,546,776,543
1066,438,818,2812,2713,3161
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2336,743,564,1791,2799,2003
0,2,0,0,0,2
71562,60446,5373,7832,11217,16455
1776,929,433,1213,1899,2640
14,8,358,128,247,318
637,357,497,3462,2980,2491
0,0,0,0,0,0
5688,5011,8085,4367,5982,8537
1543,1042,537,1854,2106,2455
2,0,0,5,9,13
0,0,0,4,32,11
302,507,114,86,160,118
0,0,0,0,0,0
315,241,1221,231,256,140
2044,952,2319,1934,1286,571
0,0,0,2,2,2
0,0,0,2,10,5
0,0,9,0,0,4
0,0,0,0,0,0
10,0,0,0,2,4
0,0,0,0,0,0
22,5,0,0,0,2
279,372,202,42,100,119
36,72,0,1749,420,274
0,0,0,2,0,0
23744,18631,2023,59899,19041,1829
5253,3821,8002,1892,1326,2028
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,0
5801,4207,2287,1689,2831,3382
0,0,0,1,1,0
0,0,0,10,16,0
0,0,0,0,0,0
0,0,0,0,0,0
3833,2466,699,1720,1904,1693
397,453,461,562,824,688
105,71,60,61,63,57
0,0,0,0,0,0
36,12,36,58,92,48
8,0,0,10,0,0
0,0,0,0,0,0
34,12,0,1618,362,32
0,12,0,302,72,6
0,0,0,2,6,0
0,0,0,2,6,0
0,0,0,2,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,10,7,2
0,0,0,0,0,0
7323,3594,2076,3559,5586,6140
0,0,72,2,2,2
4883,3185,1627,2849,3291,5388
25,27,30,46,38,27
15,8,2,362,188,21
100,46,8,101,99,63
4,0,0,0,1,0
22716,19740,3829,4126,5412,6945
5,25,1,0,0,0
7,4,0,0,0,0
0,3,0,0,0,0
533,493,237,766,1005,931
4,0,0,0,0,0
0,0,0,0,0,1
56,551,518,2176,1623,1907
0,0,0,2,0,0
0,0,0,2,0,2
158,143,825,334,210,385
3,6,1,4,5,2
6279,4782,1186,661,656,659
22,6,0,1,2,4
1524,1535,708,2510,1604,1035
0,6,6,13,2,6
4,4,3,10,7,6
0,0,0,536,729,306
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,3,5,2
268,171,152,176,68,14
0,0,0,0,0,0
8131,4519,2845,2189,3069,4317
10950,7695,1726,4500,6306,7973
1195,0,4,93,35,125
8,13,17,8,20,16
1043,256,2317,746,757,759
36,10,0,9,12,1
16031,7918,849,402,798,965
0,0,0,0,0,0
1418,964,946,512,673,1126
33,39,0,40,46,61
14370,8836,2167,1926,2285,3090
1498,611,1759,3150,1423,3021
0,0,0,4,2,0
7,149,0,2553,1633,205
0,0,0,1,0,0
12,27,0,18,14,8
793,1091,62,2927,2720,1365
6533,3538,1154,1532,1625,1090
22,108,16,2024,972,150
6302,5142,639,2462,3374,3765
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
92,72,141,3,16,19
3621,2309,976,2353,3627,5280
10,0,18,26,52,105
0,0,0,0,0,0
0,0,0,0,1,6
420,96,620,532,410,585
4524,2663,1150,2135,3708,4604
0,0,0,0,0,0
0,0,0,0,2,3
0,0,0,0,0,0
189,2033,0,4,4,28
0,0,0,0,0,0
3,16,0,0,2,10
648,602,489,491,390,320
8051,7918,901,1472,1852,2950
0,0,0,6,0,2
0,2,0,0,0,0
0,0,0,0,0,0
3,0,4,2,0,2
0,0,0,20,24,6
0,0,0,6,12,45
0,0,0,0,2,0
0,0,0,0,0,0
6,4,0,0,0,4
3,0,0,0,0,0
26,11,41,162,131,154
8,27,48,2,0,2
3,0,0,0,0,0
735,731,148,1230,1171,1391
22,0,24,2,0,0
0,0,0,0,0,0
2,11,0,12,7,5
2,2,0,0,2,2
0,0,0,0,0,0
2033,984,309,409,496,584
7,4,0,8,12,7
2,4,0,2,0,0
0,0,0,0,0,0
3027,1622,553,304,342,435
25,0,34,20,36,38
12,14,20,0,2,10
0,0,0,0,0,0
0,2,23,2,0,4
0,0,0,0,0,0
10,9,0,2,3,2
2,2,2,0,0,0
2,2,0,0,10,9
0,0,0,0,8,0
0,2,0,4,5,16
4,2,0,4,8,4
0,0,0,1,2,0
4439,4274,90,2952,2123,1709
153,35,42,86,28,26
0,0,0,0,0,0
0,0,0,0,1,0
293,112,39,72,60,53
0,0,0,3,0,0
0,0,0,2,3,8
15,0,2,2,0,0
6,10,2,12,52,44
0,0,0,0,0,0
0,0,2,0,2,2
47,18,22,27,12,18
2,3,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
202,174,253,911,1146,1311
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,4,10,2
0,0,0,0,0,0
2,0,0,2,0,0
221,59,12,353,352,216
2,0,2,7,6,5
3,46,0,6,2,2
58,64,0,1,8,12
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,4,3,4
0,0,0,2,4,0
0,0,0,0,0,11
0,0,0,1,0,0
0,0,0,0,0,0
0,0,2,0,0,0
4,0,0,0,2,0
21,4,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12,0,277,277,102
5209,8391,714,1299,1145,328
0,0,0,0,0,0
2,0,0,0,0,2
1190,1104,334,261,205,149
0,0,0,0,0,0
0,0,0,0,0,0
49403,18509,2738,1884,2839,4032
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,4,11,0
0,0,0,0,0,0
0,0,0,1,2,0
0,0,0,0,0,0
0,0,0,0,0,0
8,2,0,14,2,16
0,0,0,2,0,0
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
42,20,13,27,15,36
0,0,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1973,2082,182,841,764,609
14,12,6,0,0,8
0,0,0,0,2,4
0,7,0,0,2,0
118,46,12,34,38,22
2,0,0,1,0,0
1726,4165,153,5432,2289,780
2001,3558,204,2463,2653,662
0,0,0,0,0,0
0,0,0,0,0,0
4,0,0,0,0,0
20,38,2,8,0,4
19,1,0,15,17,12
0,0,0,1,0,3
1859,1691,603,1462,2112,1985
0,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,2,2
0,0,0,0,0,0
0,0,0,0,0,0
7945,5156,3941,2288,2362,2534
4,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,1,0
0,0,0,0,0,0
0,6,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1408,1439,40,122,48,15
2,0,0,0,2,7
8,94,62,752,563,380
2,0,0,5,4,8
0,0,0,0,1,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
650,924,77,483,257,48
0,0,0,0,2,0
0,0,0,2,0,0
0,0,0,2,1,0
0,0,0,0,0,0
23593,12011,4376,4060,5435,6998
8,2,86,353,355,193
4,1,0,10,3,0
12,18,0,0,0,2
0,0,0,12,13,6
0,0,0,22,8,2
