Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
0,0,0,0,0,0
4,2,0,0,0,2
0,0,0,0,0,0
82,44,50,80,84,129
14,0,78,5,22,16
12108,2847,6747,5581,7168,7597
0,0,0,0,0,0
1005,794,333,736,773,1086
123,128,179,19,14,16
0,0,0,0,0,0
0,0,0,0,0,2
2,0,0,2,0,2
1287,580,491,322,533,970
7407,6849,2978,3513,3760,4697
10610,7261,1491,2165,3102,3170
0,0,0,0,0,2
2,0,0,0,0,0
0,8,0,0,0,0
0,2,0,0,0,0
0,0,0,4,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,4,4,0,2,0
0,0,0,0,0,0
2035,824,862,994,1036,892
6,0,0,2,0,0
0,2,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
104,58,0,32,38,27
3620,415,6947,394,862,1186
2,24,0,0,4,4
0,0,0,0,0,0
4,0,0,45,26,2
0,0,0,0,0,0
4,0,0,32,38,16
0,0,0,0,0,0
1637,955,364,509,663,705
1065,666,594,228,717,1066
5550,2537,961,729,780,1547
13274,4851,182,1592,1645,746
1432,1567,697,466,1239,1935
415,332,486,223,194,180
3340,1648,1465,591,465,712
0,0,0,0,0,0
0,0,0,0,14,8
44,21,0,0,8,10
2,0,0,0,0,0
12,172,71,58,152,1677
0,0,0,0,0,0
15152,6268,2706,980,1680,2574
0,0,0,0,5,0
0,0,0,0,0,0
994,1010,69,13256,12304,14672
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,2
32,69,4,89,74,35
1,4,0,0,0,0
572,186,348,26,22,71
8,8,27,2,10,0
0,75,44,0,4,2
0,0,0,0,0,0
1,0,0,0,0,7
0,0,0,0,0,0
2464,7663,1521,6050,10700,18928
4298,8639,5069,3754,3241,1857
9659,3187,4009,2960,3692,4860
2,0,0,0,0,2
0,0,0,2,0,0
0,0,0,2,0,2
2665,3980,177,1312,1043,412
4,0,19,0,0,0
3224,2116,298,838,739,662
0,0,3,0,0,0
0,0,0,1,0,0
0,0,26,8,76,62
2617,799,60,2489,958,68
2728,2365,934,906,3769,6008
32,4,0,2,4,4
0,0,0,2,1,0
0,0,0,0,0,0
0,6,12,1,3,6
0,0,0,0,0,0
5,0,24,0,0,0
19,2,0,13,6,0
0,0,0,0,0,0
114,0,0,276,382,575
0,0,0,0,0,0
0,0,0,2,2,2
8,0,0,4,0,0
7,0,0,6,29,35
0,0,0,0,0,0
0,2,0,0,3,0
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,6,4,0
108,49,18,48,72,111
0,0,0,1,7,0
6493,3977,853,5518,16023,32635
0,0,0,0,0,0
0,33,17,12,29,14
1833,1151,536,732,808,1025
0,0,0,0,6,0
0,0,0,0,0,2
30,8,79,103,160,108
0,0,0,0,0,0
0,0,0,0,0,0
3878,2587,1108,940,1896,2108
0,0,0,0,2,0
2,0,0,238,287,94
6,24,0,0,0,0
2,2,0,19,44,88
16,12,0,20,5,2
108,287,0,114,72,12
2,2,18,3,2,0
30,14,0,0,0,0
4216,2449,2896,12557,8350,3704
55,65,50,33,30,36
13644,6450,3856,1841,2888,3366
5033,5207,1367,1324,1974,3260
0,0,2,10,3,8
4,3,8,16,10,5
0,0,0,0,0,0
0,0,0,0,0,0
4,0,1,0,0,2
71,30,0,65,74,27
0,0,0,0,0,0
0,0,0,0,1,7
0,0,0,0,0,0
2,0,0,0,0,0
0,2,1,0,0,0
0,0,0,0,0,0
12,8,0,0,2,0
17775,10367,2468,1837,2097,1378
0,0,0,0,0,0
3932,3055,0,4743,2518,1788
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4414,1573,1344,1343,1617,1298
0,0,0,0,0,0
0,0,0,0,0,0
7,4,45,23,86,41
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14994,10911,1948,1965,2079,2372
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,4,2,0,0
4499,13616,5971,5998,7801,9440
27862,9707,4460,6920,8791,19991
0,0,0,3,11,8
8,0,0,793,859,94
1757,172,2169,249,333,332
293,155,200,386,471,290
2,4,0,0,0,0
10362,5025,1226,1295,2314,2805
0,6,0,0,0,0
0,0,0,0,0,0
0,4,0,0,6,0
6,0,0,7,5,3
2,0,0,13,2,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,4,2
16088,5844,1498,2152,3015,4547
0,0,0,13,17,14
1300,526,770,542,806,1309
8686,7210,1689,1343,2643,3483
0,0,0,0,2,0
2100,1570,909,886,994,1370
0,0,0,0,0,0
24,12,0,23,25,23
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
19,14,15,3,3,14
0,0,0,2,0,0
0,0,0,0,0,0
6,2,94,422,4306,8303
3063,1075,20,12,123,538
2,0,0,0,2,0
0,0,0,2,2,4
22,19,1,0,8,0
952,679,1278,894,883,853
15,18,28,20,12,43
2,0,49,12,2,0
12,10,0,0,0,0
0,0,0,12,8,17
23,2,4,1,13,35
0,9,0,0,0,0
1407,544,251,620,739,747
14,0,0,5,10,15
0,0,0,0,0,0
12,0,0,0,4,0
3,12,0,2,6,0
0,2,0,10,0,4
20,4,0,5,7,4
72964,54992,24653,5750,6989,5784
0,0,0,0,0,0
0,0,0,0,0,0
4,4,0,0,2,0
888,202,75,404,293,164
2,4,0,0,0,0
185,17,16,12,5,9
0,20,0,178,44,12
0,0,0,0,0,0
0,0,0,0,0,0
4,0,0,8,2,0
4,0,0,0,0,0
1074,615,602,327,1007,1621
379,260,49,2102,1155,1083
0,0,0,2,0,30
